DB Navigator | ['ドイツ']
ドイツ鉄道（ICE/IC） | ['ドイツ(transport)']
Uバーン・Sバーン | ['ドイツ(transport)']
長距離バス（FlixBus） | ['ドイツ(transport)']
タクシー・配車アプリ | ['ドイツ(transport)', 'スペイン(transport)']
Trenitalia / Italo | ['イタリア']
Frecciarossa / Italo（高速鉄道） | ['イタリア(transport)']
国内線 | ['イタリア(transport)', 'ラオス人民民主共和国(transport)', 'ニュージーランド(transport)', '南アフリカ共和国(transport)', 'スペイン(transport)', 'タイ(transport)', 'ウズベキスタン(transport)']
地下鉄・バス・トラム | ['イタリア(transport)']
水上バス（ヴァポレット） | ['イタリア(transport)']
長距離バス | ['イタリア(transport)', 'フィリピン(transport)', 'スペイン(transport)', 'スリランカ民主社会主義共和国(transport)']
Naver Map | ['韓国']
None | ['韓国(transport)', '韓国(transport)', '韓国(transport)', '韓国(transport)']
Loca | ['ラオス人民民主共和国']
ミニバン・長距離バス | ['ラオス人民民主共和国(transport)']
車チャーター（ドライバー付き） | ['ラオス人民民主共和国(transport)', 'スリランカ民主社会主義共和国(transport)']
トゥクトゥク・バイクタクシー | ['ラオス人民民主共和国(transport)']
ボート | ['ラオス人民民主共和国(transport)']
KLIAエクスプレス（空港↔KL市内） | ['マレーシア(transport)']
LRT・MRT・モノレール（KL市内） | ['マレーシア(transport)']
バス | ['マレーシア(transport)', 'シンガポール(transport)', '台湾(transport)']
国内線（島・ボルネオへ） | ['マレーシア(transport)']
フェリー | ['マレーシア(transport)']
InterCity | ['ニュージーランド']
レンタカー | ['ニュージーランド(transport)', '南アフリカ共和国(transport)']
長距離バス（InterCity） | ['ニュージーランド(transport)']
観光列車 | ['ニュージーランド(transport)']
市内バス | ['ニュージーランド(transport)']
ツアー専用バス | ['北朝鮮(transport)']
平壌地下鉄（体験乗車） | ['北朝鮮(transport)']
国際列車（北京〜平壌） | ['北朝鮮(transport)']
徒歩（ガイド同伴時のみ） | ['北朝鮮(transport)']
国内線（マニラ⇄セブ⇄パラワン） | ['フィリピン(transport)']
フェリー・バンカーボート | ['フィリピン(transport)']
ジプニー・トライシクル | ['フィリピン(transport)']
国際線（直行便） | ['シンガポール(transport)', '台湾(transport)']
MRT（地下鉄） | ['シンガポール(transport)', '台湾(transport)']
タクシー / Grab | ['シンガポール(transport)']
セントーサ・エクスプレス / ケーブルカー | ['シンガポール(transport)']
国際線（乗り継ぎ） | ['南アフリカ共和国(transport)']
Uber / Bolt | ['南アフリカ共和国(transport)']
長距離バス / 観光バス | ['南アフリカ共和国(transport)']
サファリ車（ゲームドライブ） | ['南アフリカ共和国(transport)']
AVE（高速鉄道） | ['スペイン(transport)']
地下鉄・バス | ['スペイン(transport)']
国際線（直行便・乗継便） | ['スリランカ民主社会主義共和国(transport)']
鉄道 | ['スリランカ民主社会主義共和国(transport)']
台湾新幹線（高鐵） | ['台湾(transport)']
台鉄（在来線） | ['台湾(transport)']
タクシー / Uber | ['台湾(transport)']
BTS スカイトレイン（バンコク市内） | ['タイ(transport)']
MRT（バンコク地下鉄） | ['タイ(transport)']
トゥクトゥク | ['タイ(transport)']
ソンテウ（乗り合いトラック） | ['タイ(transport)']
フェリー・水上バス | ['タイ(transport)']
アフロシヨブ号（高速鉄道）— 最もおすすめ | ['ウズベキスタン(transport)']
共有タクシー（サービ） | ['ウズベキスタン(transport)']
Yandex Taxi / InDriver（市内） | ['ウズベキスタン(transport)']
マルシュルートカ（ミニバス） | ['ウズベキスタン(transport)']
国内線（ハノイ⇄ダナン⇄ホーチミン） | ['ベトナム(transport)']
統一鉄道（ハノイ〜ホーチミン） | ['ベトナム(transport)']
バイクタクシー（Xe Om）・レンタルバイク | ['ベトナム(transport)']
オープンバス（都市間長距離バス） | ['ベトナム(transport)']
